aceX aceY aceZ lati longi altiMed vel rot_x rot_y rot_z time
5.10000 6.10000 7.10000 41.80500 -6.74800 10.90000 10.50000 1.00000 1.00000 1.00000 0.50000 1.00000 
5.20000 6.20000 7.20000 41.80600 -6.74700 15.80000 11.00000 2.00000 2.00000 2.00000 1.00000 0.50000 
5.30000 6.30000 7.30000 41.80700 -6.74600 20.70000 11.50000 3.00000 3.00000 3.00000 1.50000 1.00000 
5.40000 6.40000 7.40000 41.80800 -6.74500 25.60000 12.00000 4.00000 4.00000 4.00000 2.00000 1.50000 
5.50000 6.50000 7.50000 41.80900 -6.74400 30.50000 12.50000 5.00000 5.00000 5.00000 2.50000 2.00000 
5.60000 6.60000 7.60000 41.81000 -6.74300 35.40000 13.00000 6.00000 6.00000 6.00000 3.00000 2.50000 
5.70000 6.70000 7.70000 41.81100 -6.74200 40.30000 13.50000 7.00000 7.00000 7.00000 3.50000 3.00000 
5.80000 6.80000 7.80000 41.81200 -6.74100 45.20000 14.00000 8.00000 8.00000 8.00000 4.00000 3.50000 
5.90000 6.90000 7.90000 41.81300 -6.74000 50.10000 14.50000 9.00000 9.00000 9.00000 4.50000 4.00000 
6.00000 7.00000 8.00000 41.81400 -6.73900 55.00000 15.00000 10.00000 10.00000 10.00000 5.00000 4.50000 
6.10000 7.10000 8.10000 41.81499 -6.73800 59.90001 15.50000 11.00000 11.00000 11.00000 5.50000 5.00000 
6.20000 7.20000 8.20000 41.81599 -6.73700 64.80000 16.00000 12.00000 12.00000 12.00000 6.00000 5.50000 
