aceX aceY aceZ lati longi altiMed vel pitch roll yaw time
-0.240 -208.180 -0.010 38.724 -9.248 161.12 0 62.938 -15.812 -0.062 0
-0.090 -262.150 -0.010 38.724 -9.248 161.06 0 65.000 2.312 39.250 0
0.050 -6.450 8.250 38.724 -9.248 161.11 0 65.750 5.812 -16.000 0
-0.010 -167.060 -0.010 38.724 -9.248 161.08 0 68.750 2.938 39.250 0
-0.250 -6.520 7.950 38.724 -9.248 161.05 0 73.375 -15.750 -0.062 0
-0.150 -5.600 7.220 38.724 -9.248 160.98 0 77.062 -15.750 -0.062 0
-0.100 -223.600 -0.010 38.724 -9.248 160.93 0 78.375 -15.750 -0.062 0
0.000 -2.560 -0.010 38.724 -9.248 160.89 0 78.188 3.000 36.125 0
-0.050 -303.270 -0.010 38.724 -9.248 160.98 0 78.562 3.438 -16.000 0
-0.140 -257.010 -0.010 38.724 -9.248 160.97 0 79.375 0.125 39.125 0
-0.090 -272.430 -0.010 38.724 -9.248 161.06 0 79.250 -15.750 -0.062 0
-0.100 -264.720 -0.010 38.724 -9.248 161.05 0 78.938 -15.750 -0.062 0
-0.020 -195.330 -0.010 38.724 -9.248 161.10 0 77.812 0.062 34.812 0
-0.100 -262.150 -0.010 38.724 -9.249 161.07 0 77.000 0.062 39.750 0
-0.110 -190.190 -0.010 38.724 -9.249 161.04 0 77.062 0.312 39.000 0
-0.150 -6.460 8.120 38.724 -9.249 160.98 0 76.375 0.000 -16.000 0
-0.160 -264.720 -0.010 38.724 -9.249 160.97 0 74.875 -15.750 -0.062 0
-0.170 -239.020 -0.010 38.724 -9.249 160.89 0 71.750 -15.750 -0.062 0
-0.200 -5.740 7.260 38.724 -9.249 160.88 0 67.562 -15.750 -0.062 0
-0.210 -244.160 -0.010 38.724 -9.249 160.91 0 61.938 -15.812 -0.062 0
-0.130 -187.620 -0.010 38.724 -9.249 160.88 0 54.500 -15.812 -0.062 0
-0.140 -6.470 7.900 38.724 -9.249 160.80 0 46.188 -15.875 -0.062 0
-0.170 -6.490 8.030 38.724 -9.249 160.90 0 38.000 -15.875 -0.062 0
-0.230 -5.760 7.160 38.724 -9.249 160.98 0 28.125 -15.938 -0.062 0
-0.200 -323.830 -0.010 38.724 -9.249 161.01 0 14.562 -16.000 -0.062 0
-0.120 -205.610 -0.010 38.724 -9.249 160.95 0 1.375 3.125 34.375 0
-0.090 -6.450 7.940 38.724 -9.249 160.97 0 347.500 0.438 -16.000 0
-0.110 -262.150 -0.010 38.724 -9.249 161.02 0 334.875 -14.750 -0.062 0
-0.180 -6.580 7.910 38.724 -9.249 161.07 0 319.938 -14.812 -0.062 0
-0.180 -5.340 6.670 38.724 -9.249 161.13 0 303.375 -14.875 -0.062 0
-0.130 -6.460 7.710 38.724 -9.249 161.27 0 286.375 0.312 37.938 0
-0.090 -197.900 -0.010 38.724 -9.249 161.23 0 267.875 -15.000 -0.062 0
-0.100 -6.470 7.920 38.724 -9.249 161.09 0 251.375 -15.062 -0.062 0
-0.130 -210.750 -0.010 38.724 -9.249 161.08 0 232.500 -15.125 -0.062 0
-0.160 -259.580 -0.010 38.724 -9.249 161.02 0 215.188 -15.188 -0.062 0
-0.140 -6.460 7.840 38.724 -9.249 160.96 0 196.125 -15.250 -0.062 0
-0.160 -203.040 -0.010 38.724 -9.249 160.96 0 178.188 -15.312 -0.062 0
-0.140 -6.600 8.060 38.724 -9.249 161.04 0 157.375 -15.438 -0.062 0
-0.040 -169.630 -0.010 38.724 -9.249 161.12 0 136.938 1.750 -16.000 0
-0.160 159.340 -0.010 38.724 -9.249 161.03 0 115.500 -15.562 -0.062 0
-0.260 -223.600 -0.010 38.724 -9.249 161.15 0 92.688 -8.562 35.625 0
-0.140 -277.570 -0.010 38.724 -9.249 161.12 0 70.500 -15.750 -0.062 0
-0.030 -231.310 -0.010 38.724 -9.249 161.20 0 47.250 -15.875 -0.062 0
-0.110 -6.810 8.080 38.724 -9.249 161.34 0 23.500 -15.938 -0.062 0
-0.160 -251.870 -0.010 38.724 -9.249 161.31 0 1.062 2.125 -16.000 0
-0.130 -223.600 -0.010 38.724 -9.249 161.34 0 338.562 1.312 -16.000 0
-0.140 -195.330 -0.010 38.724 -9.249 161.44 0 315.875 -14.812 -0.062 0
-0.150 -6.470 7.540 38.724 -9.249 161.41 0 289.562 -14.875 -0.062 0
-0.080 -280.140 -0.010 38.724 -9.249 161.50 0 261.125 -15.000 -0.062 0
-0.050 -6.720 7.900 38.724 -9.249 161.44 0 228.562 -15.125 -0.062 0
