p: 354.674314955, r: 95.0980898519, y: 118.676667848
p: 356.015538711, r: 94.3509832699, y: 135.630139934
p: 351.952548176, r: 94.2496096023, y: 141.706877276
p: 350.835225705, r: 95.4515794622, y: 144.985204153
p: 349.991378031, r: 95.2091145769, y: 145.582695442
p: 6.16034013839, r: 86.9792557214, y: 187.836189064
p: 7.61296129229, r: 88.6658001822, y: 186.858829974
p: 8.9482675439, r: 90.3338553209, y: 185.910690435
p: 10.0907976826, r: 91.8629434308, y: 185.080685847
p: 10.7065938778, r: 93.3128081765, y: 184.294244205
p: 11.289092047, r: 94.4371939176, y: 183.546570718
p: 11.5941735453, r: 95.5781633581, y: 183.045084568
p: 11.5592174909, r: 96.6459404914, y: 182.592844083
p: 11.3574699246, r: 97.7813638183, y: 182.336985197
p: 10.777413548, r: 99.0446277959, y: 182.360098557
p: 9.97410219308, r: 100.362806494, y: 182.481252452
p: 8.97951651313, r: 101.49747167, y: 182.807530589
p: 7.45427294599, r: 102.381851394, y: 183.218120581
p: 5.85716340906, r: 102.855081051, y: 183.946232407
p: 3.92040137131, r: 103.012592043, y: 184.904863117
p: 2.23886578705, r: 102.901546828, y: 185.818018428
p: 0.555406597396, r: 102.768808931, y: 186.97961504
p: 358.946480033, r: 102.638939715, y: 187.932207863
p: 357.514109109, r: 102.160655718, y: 188.767198489
p: 356.288324941, r: 101.68448225, y: 189.363528645
p: 355.686000867, r: 89.2392218838, y: 194.088271022
p: 356.491331396, r: 87.7440183424, y: 194.31420002
p: 357.430335131, r: 86.6589130191, y: 194.202471785
p: 358.32030131, r: 85.670215816, y: 194.03546
p: 359.219484615, r: 84.8951054584, y: 193.695507824
p: 0.343800053152, r: 84.4342521046, y: 193.277677832
p: 1.66544824762, r: 83.9816701098, y: 192.729186321
p: 2.85837226906, r: 83.6070957055, y: 192.382472258
p: 3.89113358383, r: 83.392716558, y: 192.164397978
p: 4.87777660756, r: 82.9265424868, y: 191.690410171
p: 6.01387185428, r: 82.4077213174, y: 190.948364759
p: 7.36925416629, r: 81.7956475754, y: 189.93850763
p: 8.7193460699, r: 81.1351068109, y: 188.795147623
p: 9.72135275039, r: 80.6893618355, y: 187.309936648
p: 10.5726436229, r: 80.4277724205, y: 186.01017897
p: 11.3615586465, r: 80.7445019527, y: 184.899398966
p: 11.9136667428, r: 81.5768288049, y: 184.161014535
