aceX aceY aceZ lati longi altiMed vel pitch roll yaw time

5.30000 6.30000 7.30000 41.80700 -6.74600 20.70000 11.50000  0 0 0 1.00000 
5.40000 6.40000 7.40000 41.80800 -6.74500 25.60000 12.00000  0 45 0 1.50000 
5.40000 6.40000 7.40000 41.80800 -6.74500 25.60000 12.00000  0 45 0 1.50000 
5.40000 6.40000 7.40000 41.80800 -6.74500 25.60000 12.00000 0 45 0 1.50000 
5.40000 6.40000 7.40000 41.80800 -6.74500 25.60000 12.00000  0 0 0 1.50000 
5.40000 6.40000 7.40000 41.80800 -6.74500 25.60000 12.00000  0 0 45 1.50000 
5.40000 6.40000 7.40000 41.80800 -6.74500 25.60000 12.00000 0 0 45 1.50000 
5.40000 6.40000 7.40000 41.80800 -6.74500 25.60000 12.00000  0 0 45 1.50000 
5.40000 6.40000 7.40000 41.80800 -6.74500 25.60000 12.00000 0 0 0 1.50000 
5.10000 6.10000 7.10000 41.80500 -6.74800 10.90000 10.50000  0 0 0 1.00000 
5.20000 6.20000 7.20000 41.80600 -6.74700 15.80000 11.00000 45 0 0 0.50000 
5.20000 6.20000 7.20000 41.80600 -6.74700 15.80000 11.00000  45 0 0 0.50000 
5.20000 6.20000 7.20000 41.80600 -6.74700 15.80000 11.00000 45 0 0 0.50000 


